Time (sec), Commanded Roll (deg), Reported Roll (deg), Commanded Altitude MSL (m), Reported Altitude MSL (m), Latitude (deg), Longitude (deg)
0.019,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0
0.052,0.0,0.0,0.0,0.0,0.0,0.0
0.079,0.0,0.0,0.0,0.0,0.0,0.0
0.106,0.0,0.0,0.0,0.0,0.0,0.0
0.131,0.0,0.0,0.0,0.0,0.0,0.0
0.161,0.0,0.0,0.0,0.0,0.0,0.0
0.187,0.0,0.0,0.0,0.0,0.0,0.0
0.213,0.0,0.0,0.0,0.0,0.0,0.0
0.238,0.0,0.0,0.0,0.0,0.0,0.0
0.263,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.0,0.0,0.0,0.0,0.0,0.0
0.315,0.0,0.0,0.0,0.0,0.0,0.0
0.342,0.0,0.0,0.0,0.0,0.0,0.0
0.371,0.0,0.0,0.0,0.0,0.0,0.0
0.398,0.0,0.0,0.0,0.0,0.0,0.0
0.424,0.0,0.0,0.0,0.0,0.0,0.0
0.449,0.0,0.0,0.0,0.0,0.0,0.0
0.474,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.526,0.0,0.0,0.0,0.0,0.0,0.0
0.553,0.0,0.0,0.0,0.0,0.0,0.0
0.578,0.0,0.0,0.0,0.0,0.0,0.0
0.603,0.0,0.0,0.0,0.0,0.0,0.0
0.628,0.0,0.0,0.0,0.0,0.0,0.0
0.653,0.0,0.0,0.0,0.0,0.0,0.0
0.683,0.0,0.0,0.0,0.0,0.0,0.0
0.712,0.0,0.0,0.0,0.0,0.0,0.0
0.737,0.0,0.0,0.0,0.0,0.0,0.0
0.766,0.0,0.0,0.0,0.0,0.0,0.0
0.791,0.0,0.0,0.0,0.0,0.0,0.0
0.816,0.0,0.0,0.0,0.0,0.0,0.0
0.841,0.0,0.0,0.0,0.0,0.0,0.0
0.867,0.0,0.0,0.0,0.0,0.0,0.0
0.893,0.0,0.0,0.0,0.0,0.0,0.0
0.918,0.0,0.0,0.0,0.0,0.0,0.0
0.943,0.0,0.0,0.0,0.0,0.0,0.0
0.968,0.0,0.0,0.0,0.0,0.0,0.0
0.997,0.0,0.0,0.0,0.0,0.0,0.0
1.023,0.0,0.0,0.0,0.0,0.0,0.0
1.051,0.0,0.0,0.0,0.0,0.0,0.0
1.076,0.0,0.0,0.0,0.0,0.0,0.0
1.101,0.0,0.0,0.0,0.0,0.0,0.0
1.127,0.0,0.0,0.0,0.0,0.0,0.0
1.151,0.0,0.0,0.0,0.0,0.0,0.0
1.178,0.0,0.0,0.0,0.0,0.0,0.0
