Time: 1548339112640, Lat: 39.49722333333333 deg(latitude), Lon: -76.13601666666666 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339113643, Lat: 39.562686666666664 deg(latitude), Lon: -76.16046 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339114143, Lat: 39.546525 deg(latitude), Lon: -76.07810166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339115645, Lat: 39.569685 deg(latitude), Lon: -76.07572666666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339116145, Lat: 39.563085 deg(latitude), Lon: -76.13896666666666 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339116658, Lat: 39.474805 deg(latitude), Lon: -76.09941333333333 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339117159, Lat: 39.50839666666667 deg(latitude), Lon: -76.12544333333334 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339117660, Lat: 39.49536666666667 deg(latitude), Lon: -76.14127833333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339119165, Lat: 39.48123666666667 deg(latitude), Lon: -76.15519333333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339119666, Lat: 39.478125 deg(latitude), Lon: -76.11541166666666 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339120166, Lat: 39.500735 deg(latitude), Lon: -76.1434 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339120667, Lat: 39.545865 deg(latitude), Lon: -76.134825 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339121168, Lat: 39.55480333333333 deg(latitude), Lon: -76.11504833333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339122668, Lat: 39.57071166666667 deg(latitude), Lon: -76.08696333333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339123169, Lat: 39.49187166666667 deg(latitude), Lon: -76.08988833333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339123669, Lat: 39.517648333333334 deg(latitude), Lon: -76.09180166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339124170, Lat: 39.52597333333333 deg(latitude), Lon: -76.11145 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339124671, Lat: 39.486755 deg(latitude), Lon: -76.09977 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339126172, Lat: 39.501151666666665 deg(latitude), Lon: -76.0743 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339126672, Lat: 39.560626666666664 deg(latitude), Lon: -76.13767166666666 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339127172, Lat: 39.478613333333335 deg(latitude), Lon: -76.094145 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339127673, Lat: 39.502655 deg(latitude), Lon: -76.08849833333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339128173, Lat: 39.554275 deg(latitude), Lon: -76.15694 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339129675, Lat: 39.568376666666666 deg(latitude), Lon: -76.106525 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339130177, Lat: 39.51490833333333 deg(latitude), Lon: -76.10217 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339130679, Lat: 39.54796833333333 deg(latitude), Lon: -76.08770666666666 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339131179, Lat: 39.57077833333334 deg(latitude), Lon: -76.15539 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339131679, Lat: 39.52878833333333 deg(latitude), Lon: -76.12182 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339133181, Lat: 39.486353333333334 deg(latitude), Lon: -76.11073166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339133683, Lat: 39.50011333333333 deg(latitude), Lon: -76.09405166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339134183, Lat: 39.53389166666667 deg(latitude), Lon: -76.13122166666666 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339134683, Lat: 39.510153333333335 deg(latitude), Lon: -76.11224833333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339135183, Lat: 39.52988833333333 deg(latitude), Lon: -76.12071 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339136685, Lat: 39.548228333333334 deg(latitude), Lon: -76.12654166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339137185, Lat: 39.49069166666666 deg(latitude), Lon: -76.09587333333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339137686, Lat: 39.48641 deg(latitude), Lon: -76.14260666666667 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339138186, Lat: 39.50855333333333 deg(latitude), Lon: -76.09072166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339138686, Lat: 39.48967833333333 deg(latitude), Lon: -76.13894166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339140188, Lat: 39.543915 deg(latitude), Lon: -76.08500333333333 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339140688, Lat: 39.560993333333336 deg(latitude), Lon: -76.10916166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339141188, Lat: 39.54771 deg(latitude), Lon: -76.093005 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339141689, Lat: 39.56779 deg(latitude), Lon: -76.13972166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339142189, Lat: 39.475115 deg(latitude), Lon: -76.13864166666667 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
Time: 1548339143690, Lat: 39.505855 deg(latitude), Lon: -76.13954 deg(longitude), Alt: 200.0 m(altitude), Conc: 60.0
Time: 1548339144191, Lat: 39.50127333333333 deg(latitude), Lon: -76.11944166666666 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.0
Time: 1548339144692, Lat: 39.50004 deg(latitude), Lon: -76.116455 deg(longitude), Alt: 200.0 m(altitude), Conc: -15.0
Time: 1548339145192, Lat: 39.484625 deg(latitude), Lon: -76.106365 deg(longitude), Alt: 200.0 m(altitude), Conc: 30.0
Time: 1548339145693, Lat: 39.571538333333336 deg(latitude), Lon: -76.13812 deg(longitude), Alt: 200.0 m(altitude), Conc: 45.0
