Time: 1548339112640, Lat: 39.497222900390625 deg(latitude), Lon: -76.13601684570312 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339113643, Lat: 39.562686920166016 deg(latitude), Lon: -76.16046142578125 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
Time: 1548339114143, Lat: 39.54652404785156 deg(latitude), Lon: -76.0781021118164 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339115645, Lat: 39.56968688964844 deg(latitude), Lon: -76.07572937011719 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339116145, Lat: 39.56308364868164 deg(latitude), Lon: -76.13896942138672 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339116658, Lat: 39.47480392456055 deg(latitude), Lon: -76.09941101074219 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.05
Time: 1548339117159, Lat: 39.50839614868164 deg(latitude), Lon: -76.12544250488281 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
Time: 1548339117660, Lat: 39.495365142822266 deg(latitude), Lon: -76.14128112792969 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339119165, Lat: 39.48123550415039 deg(latitude), Lon: -76.15519714355469 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339119666, Lat: 39.478126525878906 deg(latitude), Lon: -76.11540985107422 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339120166, Lat: 39.500736236572266 deg(latitude), Lon: -76.14340209960938 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.05
Time: 1548339120667, Lat: 39.54586410522461 deg(latitude), Lon: -76.13482666015625 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
Time: 1548339121168, Lat: 39.55480194091797 deg(latitude), Lon: -76.11505126953125 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339122668, Lat: 39.57071304321289 deg(latitude), Lon: -76.08695983886719 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339123169, Lat: 39.49187088012695 deg(latitude), Lon: -76.08988952636719 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339123669, Lat: 39.51764678955078 deg(latitude), Lon: -76.09180450439453 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.05
Time: 1548339124170, Lat: 39.52597427368164 deg(latitude), Lon: -76.1114501953125 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
Time: 1548339124671, Lat: 39.48675537109375 deg(latitude), Lon: -76.09976959228516 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339126172, Lat: 39.50115203857422 deg(latitude), Lon: -76.07430267333984 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339126672, Lat: 39.56062698364258 deg(latitude), Lon: -76.1376724243164 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339127172, Lat: 39.478614807128906 deg(latitude), Lon: -76.09414672851562 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.05
Time: 1548339127673, Lat: 39.502655029296875 deg(latitude), Lon: -76.0885009765625 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
Time: 1548339128173, Lat: 39.55427551269531 deg(latitude), Lon: -76.15693664550781 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339129675, Lat: 39.56837844848633 deg(latitude), Lon: -76.10652160644531 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339130177, Lat: 39.51490783691406 deg(latitude), Lon: -76.1021728515625 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339130679, Lat: 39.547969818115234 deg(latitude), Lon: -76.08770751953125 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.05
Time: 1548339131179, Lat: 39.570777893066406 deg(latitude), Lon: -76.15538787841797 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
